store_id,uptime_last_hour,uptime_last_day,uptime_last_week,downtime_last_hour,downtime_last_day,downtime_last_week
65481df2-caa4-4a19-9e2c-8eb77e667c92,4.69,4.58,32.13,0.0,8.59,61.49
da4612b7-aa39-42d3-a88a-341e86d86619,0.0,4.68,34.76,0.0,8.32,58.2
d42826da-1f4b-4984-a265-1a312b5d15ff,0.0,9.79,71.05,0.0,5.96,43.2
cbe84273-04e7-436d-a07f-e69fe1df7e60,0.0,7.03,50.66,0.0,5.97,42.34
3757be17-5d4d-4dd4-8bdc-a6ddd6ae6fe3,0.0,3.1,21.81,0.0,7.56,52.86
5a67dd42-77cd-40e0-833e-a4c749d2781c,60.0,23.98,167.88,0.0,0.0,0.0
90132906-8554-4b05-a020-476926f2ff41,0.0,3.9,27.56,0.0,5.85,42.94
cc629734-fe17-457e-a434-0295d24343a7,0.0,2.73,19.19,0.0,7.77,54.31
63e2f724-48a5-4599-8cc0-5b779f9bf762,33.69,5.98,41.96,0.0,8.01,55.96
c54c22a7-7a91-4ce0-a32d-194bdf45b2c6,0.0,5.01,38.06,0.0,5.99,38.94
08771e13-f497-4842-8a04-73e16c0474b1,0.0,10.04,70.97,0.0,5.96,45.0
4efbdc24-f885-4da2-a9f1-3da31fbdd25c,0.0,4.63,34.49,0.0,7.87,55.01
4d0e3c92-85a6-4e50-9756-be0fdcd96bde,0.0,4.24,32.95,0.0,5.76,39.05
f394ed47-ebc2-4e24-847c-25d66ed27666,0.0,0.0,16.21,0.0,11.25,62.54
437cd23b-c69c-48f8-8a90-fc6106d71dc4,0.0,5.02,39.18,0.0,7.98,53.82
d33ce2be-26a9-4e35-b134-a3d8b431fa17,4.97,6.07,38.5,29.7,7.93,59.5
b48b7622-2416-4369-9628-554e29ecf0f7,10.33,7.74,54.23,49.67,5.76,40.27
01da0a2e-7341-448d-a66f-920fccd80e37,0.0,3.6,27.29,0.0,7.9,55.21
28b7a3ec-6926-4a8b-ab2b-5b1f4b55f1a1,0.0,3.21,22.53,0.0,7.46,52.14
bf3cc4c5-65dd-4bdb-b777-233df6bc08c8,4.69,11.87,90.1,0.0,5.13,28.9
0ab1cbc7-5cdd-439b-af54-557a14b55b56,0.0,0.0,0.0,60.0,9.0,75.0
765ad595-5bde-4c7a-b6b3-badd8d3b277c,0.0,3.98,29.79,0.0,7.85,53.05
ef969cbb-ae17-458f-b6f2-fbd683799285,0.0,6.06,37.91,0.0,5.44,42.59
b24ded51-f21f-41a3-b546-321b67acde21,0.0,7.24,39.25,0.0,5.26,48.25
f810e7be-8bff-44ea-a7e2-e6106fe7664e,34.67,5.71,41.81,0.0,7.79,52.69
e89c4078-d92d-4dba-8465-c452e91b3170,0.0,9.49,62.48,0.0,4.51,35.51
3fb02386-5c2f-4e7e-8653-f9c58f0b9c1e,0.0,4.0,32.05,0.0,8.0,53.95
2e75359e-7871-4156-b943-986d45f904ae,33.69,5.93,41.62,0.0,7.3,51.02
cf737fea-3cb6-43ef-9947-ee3cf14afbd9,0.0,2.65,20.63,0.0,7.85,54.87
82eedff3-5c5b-40f6-b912-df34f8e0c064,14.95,7.25,51.5,19.72,5.75,39.5
b6898f84-72ad-4688-ae90-d84911d022f3,0.0,8.06,68.12,0.0,5.44,26.38
a03ea52a-6223-461d-b7ea-cfd644a3750c,0.0,4.07,30.53,0.0,5.68,37.72
8825db6f-a586-42a6-a6a4-b1c040366edc,0.0,4.24,29.76,0.0,8.26,57.74
e3de046b-aada-43bf-9a02-016a4cb5dbdc,4.69,10.15,63.23,0.0,3.02,28.93
6761bad4-0440-4a36-8a42-3ffe8bb94bd8,0.0,5.29,41.16,0.0,5.71,37.84
094c0921-98a0-4b04-ada0-52f0f6622e22,0.0,0.0,0.0,0.0,0.0,35.5
5e1d0bac-45e5-490f-a289-76bd9872e7e1,34.67,5.77,42.2,0.0,7.73,52.3
5b44418f-40b2-4d13-b484-02ce648e5c68,4.69,10.15,63.1,0.0,3.02,29.07
6a4d1b5b-bd92-467a-bc3e-5b50d71f067f,11.57,6.18,43.35,22.12,7.3,51.03
2a886967-4460-41fb-87a1-0e9a7ad5cc85,0.0,4.69,34.89,0.0,8.31,58.1
55894bda-92d1-4d89-85b8-1d6c725e13e3,4.69,10.15,63.4,0.0,3.02,28.77
1e307901-2ea2-445e-b6e5-64a33efa3bc6,0.0,5.15,38.07,0.0,7.85,54.89
a73b324c-d6d1-480d-a31c-e4215d6709e1,0.0,3.34,23.49,0.0,7.32,51.18
d7773731-54d9-434a-a187-fd06d62ef270,0.0,2.77,21.44,0.0,8.23,57.56
da5a72ef-ba01-4316-8fc4-5b85cd0694e8,0.0,6.61,49.28,0.0,5.89,39.21
8bd33f23-8238-4908-9b13-7aacf1737e49,33.69,5.71,40.05,0.0,8.28,57.86
43b6ed87-9b16-46d2-a1e2-756064a012a4,0.0,3.03,32.13,0.0,9.47,57.37
46df0fc6-d2bf-4b09-adc9-940f2f197abc,0.0,3.87,27.1,0.0,5.88,41.15
79eb22f0-cad2-4f5a-905d-6343d6ff430f,29.13,7.05,47.38,30.87,6.95,50.61
8a8b6b4f-ab04-4892-b0b6-f021b3caf5e2,0.0,0.0,0.0,0.0,12.0,85.97
e29ad0f5-3ba8-423d-acb2-ac0e96defc90,0.0,7.47,43.23,0.0,6.02,51.15
f53adfbe-7229-4098-bf4b-a1b242a3aa6c,0.0,4.31,33.01,0.0,5.94,38.74
401d4b74-b07b-414f-ac79-ccba9a47081a,0.0,3.28,23.06,0.0,8.22,57.44
a1b91f50-3cc6-43ad-b803-5d179ea0a124,0.0,0.0,0.0,0.0,8.0,63.0
163431ef-05e2-490f-b32c-fab9f9b9bcf9,34.67,5.99,43.99,0.0,8.01,54.01
e1dfcc10-9fa7-4ca1-9b4e-9750513c0234,0.0,4.61,34.35,0.0,7.89,55.15
21130866-5109-448c-888e-9fe22eac2d99,0.0,10.03,85.21,0.0,5.97,42.79
a33fc88e-0277-49d0-8eb6-f6d1177db494,0.0,13.05,91.02,0.0,2.95,20.98
e6b7d714-65e3-405b-aab6-a64414ab37d1,60.0,11.98,80.29,0.0,12.02,87.71
e021824c-6ab6-4027-b8af-6a0cf6a08f77,0.0,4.43,33.02,0.0,5.57,38.98
806ef901-1394-43f5-8d07-2e15abd068e7,0.0,7.03,50.66,0.0,5.97,42.34
477603df-e75a-438e-b340-0feb00026d4f,5.01,6.07,44.5,29.66,7.93,53.5
f5870ce4-3e9c-4988-ade4-1d7c7d06585c,0.0,4.67,34.8,0.0,7.83,54.7
7a242d0e-309c-4915-9755-e9019d69108d,4.69,14.55,101.51,0.0,2.95,20.99
73d73b4a-dd88-4280-8243-537207950de5,0.0,6.37,43.22,0.0,5.97,43.11
e6cdaf9e-a96d-4466-a196-504e9b3ecb03,3.03,6.04,44.3,31.65,7.96,53.7
37c738f8-753b-4437-af4f-952a90e4a9af,0.0,4.45,31.2,0.0,8.05,56.3
85febafc-a8fc-457c-9cd6-217923577964,4.69,14.05,98.02,0.0,2.95,20.98
